	num_particles	process_std	measurement_std	g	h	rotflip_const	mean_test_score	mean_score_time
57	600	0.02	0.0175	0.5	0.5	0.05	-0.0037238984333109507	0.5394282341003418
72	600	0.01	0.0175	0.75	0.25	0.05	-0.0037246382250470424	0.46146440505981445
36	600	0.01	0.02	0.4	0.5	0.05	-0.0037246865055435706	0.44699645042419434
40	600	0.01	0.0175	0.4	0.75	0.05	-0.0037249713599875793	0.41843581199645996
78	2500	0.01	0.02	0.75	0.25	0.05	-0.0037256709894930083	0.8490762710571289
10	2500	0.01	0.0175	0.2	0.5	0.05	-0.0037257239736120454	0.8230831623077393
93	600	0.02	0.02	0.75	0.75	0.05	-0.0037262303306355733	0.5152485370635986
16	600	0.01	0.0175	0.2	0.75	0.05	-0.003726301170963236	0.42650747299194336
2	2500	0.01	0.0175	0.2	0.25	0.05	-0.0037263769495649323	0.9837026596069336
82	2500	0.01	0.0175	0.75	0.5	0.05	-0.003726412722060049	0.923325777053833
34	2500	0.01	0.0175	0.4	0.5	0.05	-0.003726526969619803	0.8170750141143799
88	600	0.01	0.0175	0.75	0.75	0.05	-0.0037271117278488016	0.4449613094329834
76	600	0.01	0.02	0.75	0.25	0.05	-0.0037276258159602543	0.44321203231811523
37	600	0.02	0.02	0.4	0.5	0.05	-0.0037278271805337923	0.5068941116333008
32	600	0.01	0.0175	0.4	0.5	0.05	-0.003727876313663672	0.4441225528717041
29	600	0.02	0.02	0.4	0.25	0.05	-0.003727902102416294	0.5150794982910156
8	600	0.01	0.0175	0.2	0.5	0.05	-0.003728793140712285	0.523125171661377
26	2500	0.01	0.0175	0.4	0.25	0.05	-0.0037288027215615256	0.8485143184661865
27	2500	0.02	0.0175	0.4	0.25	0.05	-0.003728809427549785	1.1265573501586914
70	2500	0.01	0.02	0.5	0.75	0.05	-0.0037302311536409846	0.9668681621551514
54	2500	0.01	0.02	0.5	0.25	0.05	-0.0037306114329676713	0.8326990604400635
66	2500	0.01	0.0175	0.5	0.75	0.05	-0.003731071247693174	0.8432729244232178
0	600	0.01	0.0175	0.2	0.25	0.05	-0.0037313453813185623	0.4273390769958496
42	2500	0.01	0.0175	0.4	0.75	0.05	-0.003731511886362477	0.8307061195373535
21	600	0.02	0.02	0.2	0.75	0.05	-0.003731947871631084	0.5491342544555664
52	600	0.01	0.02	0.5	0.25	0.05	-0.003732746473326986	0.43327832221984863
50	2500	0.01	0.0175	0.5	0.25	0.05	-0.0037328749514681254	0.7957613468170166
68	600	0.01	0.02	0.5	0.75	0.05	-0.0037329009333292064	0.46981048583984375
44	600	0.01	0.02	0.4	0.75	0.05	-0.00373312305687107	0.44905567169189453
12	600	0.01	0.02	0.2	0.5	0.05	-0.003734750562232297	0.45599889755249023
94	2500	0.01	0.02	0.75	0.75	0.05	-0.003735495448840927	0.846182107925415
28	600	0.01	0.02	0.4	0.25	0.05	-0.0037357973015194187	0.42720961570739746
4	600	0.01	0.02	0.2	0.25	0.05	-0.0037377754728244133	0.4438178539276123
38	2500	0.01	0.02	0.4	0.5	0.05	-0.0037385701779956483	0.8279643058776855
