	Numbero f particles	Process std	param_measurement_std	param_vel_std	param_res_g	mean_test_score
6	600	0.01	0.01	0.05	0.5	-0.00035992497567057983
30	600	0.04	0.01	0.05	0.5	-0.0003598885814098871
178	2500	0.04	0.015	0.1	0.75	-0.0003597337335850459
49	2500	0.02	0.01	0.1	0.2	-0.00035943376150894416
154	2500	0.01	0.015	0.1	0.75	-0.00035924714772557644
98	10000	0.04	0.01	0.15	0.2	-0.00035888553707714364
102	10000	0.04	0.01	0.05	0.5	-0.0003588817726618998
1	600	0.01	0.01	0.1	0.2	-0.00035887661096363114
251	600	0.04	0.02	0.15	0.75	-0.00035814321219237267
202	10000	0.02	0.015	0.1	0.75	-0.0003574592368495502
190	10000	0.01	0.015	0.1	0.75	-0.0003572266693939278
27	600	0.04	0.01	0.05	0.4	-0.00035679710783328484
62	2500	0.04	0.01	0.15	0.2	-0.00035668548592316453
99	10000	0.04	0.01	0.05	0.4	-0.0003560385705513149
39	2500	0.01	0.01	0.05	0.4	-0.00035545293767528315
87	10000	0.02	0.01	0.05	0.4	-0.00035543371586602086
214	10000	0.04	0.015	0.1	0.75	-0.0003553308151128094
74	10000	0.01	0.01	0.15	0.2	-0.00035527893627598415
13	600	0.02	0.01	0.1	0.2	-0.0003549041021919911
26	600	0.04	0.01	0.15	0.2	-0.0003547875510209332
96	10000	0.04	0.01	0.05	0.2	-0.00035423720820486397
86	10000	0.02	0.01	0.15	0.2	-0.00035378000617283264
63	2500	0.04	0.01	0.05	0.4	-0.00035346379900769355
75	10000	0.01	0.01	0.05	0.4	-0.000352626692907847
15	600	0.02	0.01	0.05	0.4	-0.0003525420139299548
61	2500	0.04	0.01	0.1	0.2	-0.00035240197837491604
3	600	0.01	0.01	0.05	0.4	-0.0003517956942426432
97	10000	0.04	0.01	0.1	0.2	-0.0003515471788780893
263	2500	0.01	0.02	0.15	0.75	-0.00035122548888220353
37	2500	0.01	0.01	0.1	0.2	-0.00035102442371327006
275	2500	0.02	0.02	0.15	0.75	-0.0003509033365252198
51	2500	0.02	0.01	0.05	0.4	-0.00034989149604228143
2	600	0.01	0.01	0.15	0.2	-0.00034951489984432236
0	600	0.01	0.01	0.05	0.2	-0.0003495118462476002
287	2500	0.04	0.02	0.15	0.75	-0.00034930854552075053
85	10000	0.02	0.01	0.1	0.2	-0.0003492178533784946
73	10000	0.01	0.01	0.1	0.2	-0.0003489856373720325
36	2500	0.01	0.01	0.05	0.2	-0.0003474277016741395
25	600	0.04	0.01	0.1	0.2	-0.00034702842864045135
84	10000	0.02	0.01	0.05	0.2	-0.0003465094474745969
48	2500	0.02	0.01	0.05	0.2	-0.00034541783034986075
