	num_particles	process_std	measurement_std	Q	R	std_a	rotflip_const	mean_test_score	mean_score_time
5	2500	0.01	0.02	0.1	0.05	0.1	0.05	-0.0037214358923407034	3.090265989303589
34	600	0.02	0.02	0.4	0.1	0.08	0.05	-0.003721569902262079	1.5672619342803955
35	600	0.02	0.02	0.4	0.1	0.1	0.05	-0.0037218391799272426	1.8245117664337158
42	600	0.02	0.02	0.4	0.15	0.08	0.05	-0.0037219286498042427	1.8229248523712158
48	600	0.01	0.02	0.7	0.05	0.08	0.05	-0.003722161238919047	1.2626287937164307
17	600	0.01	0.02	0.1	0.15	0.1	0.05	-0.0037222283568159775	1.6607041358947754
50	600	0.02	0.02	0.7	0.05	0.08	0.05	-0.0037225438505744876	1.559152603149414
2	600	0.02	0.02	0.1	0.05	0.08	0.05	-0.0037225559455739857	1.5448780059814453
49	600	0.01	0.02	0.7	0.05	0.1	0.05	-0.003722911870766599	1.2506566047668457
0	600	0.01	0.02	0.1	0.05	0.08	0.05	-0.0037234050345403688	1.6840479373931885
19	600	0.02	0.02	0.1	0.15	0.1	0.05	-0.0037235501245997146	1.5666742324829102
57	600	0.01	0.02	0.7	0.1	0.1	0.05	-0.003723868651816946	1.7889866828918457
32	600	0.01	0.02	0.4	0.1	0.08	0.05	-0.0037239081456465787	1.2391109466552734
25	600	0.01	0.02	0.4	0.05	0.1	0.05	-0.00372466582939028	1.2107980251312256
40	600	0.01	0.02	0.4	0.15	0.08	0.05	-0.003724675119496387	1.6444132328033447
