	num_particles	process_std	measurement_std	g	h	mean_test_score	mean_score_time
332	2500	0.01854090664604193	0.03546658556179734	0.7695622096963032	0.8047995528670194	-0.0001984724464973332	0.9852874279022217
321	2500	0.019670866198720136	0.02788211601521605	0.763352752330333	0.850631156253925	-0.00019936751973085088	1.0995395183563232
2248	1000	0.02220045663979292	0.035314622092384236	0.7325043200881558	0.8876291595025689	-0.0002002703705196717	0.6280026435852051
807	2500	0.018044021150594024	0.028809012048171656	0.8056947065670905	0.8135316384065198	-0.00020156533689544946	1.0547916889190674
2486	1500	0.02025599687821171	0.03252399884468387	0.7335388185713254	0.8517617011574933	-0.00020159155782122987	0.762829065322876
134	1000	0.019687412825505922	0.032078686346495876	0.7292963487026758	0.8898733212315619	-0.00020202630979369415	0.6345577239990234
439	1000	0.018738387479400487	0.03312695584878086	0.8214260269278624	0.4993485153584897	-0.00020265188492774757	0.6259853839874268
1	1000	0.014899346791976752	0.02500247781871633	0.7467498823554772	0.7383632669565431	-0.00020281779756118937	0.6462297439575195
2529	600	0.01893162549044911	0.03501305337173255	0.6227519501763173	0.974666896826618	-0.0002034550018625179	0.514641284942627
1646	1500	0.022181378548812566	0.03363771125139805	0.8419096594883111	0.718866735356905	-0.00020456936209003185	0.7681009769439697
1805	2500	0.018653198770494504	0.028031530455926358	0.8223984271698865	0.40535209490859503	-0.00020493253329518555	1.0807342529296875
1097	1000	0.014741338671392351	0.027625330240892518	0.7491324820013069	0.7098887970018183	-0.00020504780653576624	0.6386299133300781
1870	1500	0.01511727847243052	0.029725915517525986	0.8150652759365162	0.36136733906109386	-0.00020529822669190472	0.7609479427337646
2588	1000	0.023838392605643917	0.03528744378377403	0.8195331635520435	0.6624956693354136	-0.00020537051034325837	0.63067626953125
2538	2500	0.02236729351373	0.033786890935763265	0.8176900767776019	0.2822904201351326	-0.000205534393003514	1.0524110794067383
1069	1000	0.01883107675450698	0.034752001592687785	0.7781109597185922	0.6413976590158154	-0.00020568777215581037	0.6193826198577881
160	1000	0.01893266245483401	0.02971565146403269	0.8296666472351992	0.0483306613529666	-0.000205991610352391	0.6451988220214844
1308	1500	0.021544328793091143	0.03330231263797564	0.7810704392564836	0.48746389364159226	-0.00020600333640844498	0.7639660835266113
