	num_particles	process_std	vel_std	measurement_std	res_g	mean_test_score	mean_fit_time
3	2500	0.22234977567834394	0.06199935332941512	0.07271046498929776	0.5581738723931036	-0.0002128005748441269	6.794929504394531e-05
1	1500	0.10236084234103023	0.17614284957259824	0.034179194340751326	0.347254598976537	-0.0002530170022939497	5.626678466796875e-05
0	1500	0.22046704004609535	0.20424611997207065	0.2276214653654408	0.5631282979034367	-0.0003395128268322561	5.53131103515625e-05
2	1000	0.14530708242131382	0.24603573263751363	0.017724665926704283	0.8651409904199743		7.033348083496094e-05
4	600	0.4206383604015903	0.2720622622807118	0.2099234135494952	0.812517294526224		6.318092346191406e-05
