	num_particles	process_std	vel_std	measurement_std	res_g	rotflip_const	mean_test_score	mean_score_time
329	2500	0.42962634244045883	0.5566904761985626	0.5888047858622689	0.6644183078699251	0.1	-0.0024675378439508377	1.5245263576507568
1155	1500	0.2837465327588375	0.3598703057045868	0.4320480807262364	0.03732373420787172	0.1	-0.002467583168295621	1.0788688659667969
2670	1500	0.3181583795350992	0.39216224559916857	0.5164206916194256	0.2200494554462874	0.1	-0.002468504611760965	1.0738115310668945
524	1000	0.27142476633601154	0.5513687834879794	0.3273638217084981	0.24347768577279072	0.1	-0.0024685871334969643	0.8406031131744385
1459	1500	0.34805192300513366	0.5307612120064271	0.3402736956956826	0.534272229149024	0.1	-0.0024686336961134217	1.0741426944732666
393	1000	0.2383124819866278	0.5788551856483973	0.42068982072148364	0.8441592754058523	0.1	-0.0024690836906748324	0.8434796333312988
2407	2500	0.24032262180227235	0.6676759349135643	0.5953607759393351	0.9071764492189129	0.1	-0.002469188690017358	1.5550777912139893
2361	1500	0.372867784966316	0.3724102905634315	0.3464985510848164	0.6786463732373239	0.1	-0.002469704746741584	1.0641424655914307
1016	1500	0.3545006061127242	0.4001574043426396	0.41700500071851593	0.5229913075995815	0.1	-0.002470011369807269	1.0638854503631592
2528	2500	0.4462887045829069	0.20580121685326908	0.3562552156411882	0.7196010194579615	0.1	-0.0024701158729588456	1.529996633529663
505	1000	0.27049673117878004	0.40771324052336444	0.3346744726084945	0.11174959150569397	0.1	-0.002470139434626967	0.8391849994659424
188	1000	0.44880993295349336	0.3023412212575911	0.46557295343412197	0.10594938222143835	0.1	-0.0024703980482339636	0.8480103015899658
244	2500	0.26146425048198607	0.3960552387319711	0.41285342095593136	0.32367933668843063	0.1	-0.0024706575085101435	1.5398061275482178
424	2500	0.3625995881473848	0.5911569760017529	0.38549214139897625	0.6015522306200236	0.1	-0.0024707410739676057	1.5238704681396484
1520	2500	0.22284292332525996	0.6437534874836618	0.5522073908407532	0.8669623331739926	0.1	-0.002471017082193353	1.525285243988037
2558	1500	0.23723670090489613	0.38879497094667514	0.32457346067570275	0.9186977805689077	0.1	-0.002471092209353511	1.0858113765716553
2359	1500	0.4278560390404864	0.3217012916766546	0.3457389502691303	0.9180075835249322	0.1	-0.0024713350536255344	1.064831256866455
