	Q	R	eps_max	Q_scale_factor	mean_test_score	mean_fit_time
4	0.3855447844017531	0.02199443153060438	0.30663480630472556	1511.167667462759	-0.00018361384047641753	4.9114227294921875e-05
3	0.26416854872107504	0.01705471866812265	1.0553580071147255	1127.5375745105023	-0.00018775747326209695	4.9114227294921875e-05
2	0.327471005446516	0.012077232021390938	0.8474433674206738	376.58211941451526	-0.0001917723772159901	5.1975250244140625e-05
1	0.11623834282809717	0.020068979922400237	1.3121262316736395	1373.478184149233	-0.00019679487087397572	5.53131103515625e-05
0	0.16744462908669183	0.024342780632116253	2.0406908517735443	1442.1962928343887	-0.00020750768122752201	6.699562072753906e-05
