	num_particles	process_std	vel_std	measurement_std	res_g	rotflip_const	mean_test_score	mean_fit_time
0	1500	0.20038840145802697	0.5678837389582114	0.36453635519561967	0.5879094860770682	0.1	-0.0024681993933179987	5.2928924560546875e-05
3	2500	0.2828770651288958	0.47128320215804886	0.2796506056629742	0.6020878377898106	0.1	-0.0025575494483752355	4.76837158203125e-05
2	600	0.27000935407769344	0.5746605558047795	0.4506846757943814	0.3576113504016851	0.1	-0.0028193965752463363	4.792213439941406e-05
1	1500	0.24071582555000126	0.533829223945782	0.5779079187743505	0.14310253377537796	0.1	-0.003354584062344017	5.173683166503906e-05
4	600	0.4039170091911769	0.45367045616069646	0.5726392073399966	0.778806776494617	0.1	-0.004392104466732825	6.723403930664062e-05
