	Q	R	eps_max	Q_scale_factor	rotflip_const	mean_test_score	mean_score_time
2225	0.6489006691143103	0.004016567670999409	0.7979203338990988	2221.9835329367666	0.1	-0.0037152078673471783	0.04618692398071289
1751	0.6621802588873982	0.004100228243817131	0.41875866481449775	3357.383414193565	0.1	-0.003715818574321778	0.04625988006591797
170	0.6395660949389871	0.004136357067669123	0.6574056685580756	681.9880403131486	0.1	-0.003723781998737208	0.046540260314941406
120	0.6219925016356886	0.0040506600790621876	0.16139476208877207	209.15075649903508	0.1	-0.003724607937833069	0.046669721603393555
1281	0.6664933461815148	0.004447716392952509	0.8012738487318182	545.7166020657334	0.1	-0.0037315680531995964	0.04639554023742676
1171	0.6443418722358327	0.004492344626631142	1.013355334725568	844.2120740975236	0.1	-0.003740452979692272	0.04690384864807129
1965	0.5672839407657448	0.004086212411552604	0.8131085405299793	889.972463466283	0.1	-0.0037446310048925933	0.0461580753326416
2181	0.5818280664039142	0.00420332477740767	1.0031475895247215	1404.3830399266242	0.1	-0.0037457941732497815	0.04622077941894531
2646	0.5813107702203992	0.00420560373654996	0.5339350690510761	188.0676526817962	0.1	-0.0037460246403182695	0.0461125373840332
250	0.6908834728933739	0.004966727878710509	0.5479561989579075	2603.6179708933237	0.1	-0.0037488463123061993	0.04672646522521973
1371	0.6450470710158234	0.004747613954371648	0.6917169954750972	3116.885516920464	0.1	-0.0037527810740858496	0.04642057418823242
992	0.5251741551927783	0.00400446041354621	0.3602312392518606	389.9028006766329	0.1	-0.00375606133791735	0.04645252227783203
1623	0.5384470637097856	0.004129167350703059	0.4037023952978019	1187.6445816307478	0.1	-0.0037580181008559513	0.046372175216674805
2489	0.6922925902327108	0.005222851564138244	1.1005337011283793	1064.3982852484119	0.1	-0.0037602241383904813	0.04632139205932617
1263	0.6900338499939511	0.005303753879892114	1.0752570809691955	3056.283124948741	0.1	-0.003764656350008756	0.04655933380126953
1142	0.6971813355294825	0.0053877216885248195	0.4332130980838268	1227.6468164471526	0.1	-0.0037662297556651358	0.04653215408325195
375	0.6356204767577136	0.004957455610235685	0.6832737150398577	1522.9487528233308	0.1	-0.003766295620960167	0.04652047157287598
117	0.5825241337705935	0.004603177393328273	0.2928204772696305	220.57574603663963	0.1	-0.003766817581543186	0.046594858169555664
1108	0.6071830247085725	0.004820054377024484	0.2689902409111473	1586.3109571635455	0.1	-0.0037689496289651076	0.0464329719543457
1820	0.5419347551271737	0.004180812652923953	0.3630415797824826	55.07308484453597	0.1	-0.003769816753987011	0.04619240760803223
1236	0.5364333365080287	0.0043350143658828	0.23978868575151951	1334.5816818439828	0.1	-0.0037706105851459362	0.04656696319580078
2003	0.6044356515679761	0.004717272377925843	0.12072096813088769	111.3988293711601	0.1	-0.0037715487963343483	0.04616117477416992
26	0.6459871865229072	0.005148779807344109	0.7200317502338026	1021.6058108313738	0.1	-0.0037720362596217628	0.04651999473571777
4	0.6529449688206127	0.005207047511706132	0.4740759573280843	2237.8169890856448	0.1	-0.003772427649234383	0.0465548038482666
2039	0.6768684975744518	0.005387435000009504	0.6686427911197222	1240.9852374880247	0.1	-0.0037728231435812934	0.04622292518615723
487	0.5285926140881926	0.004320839562030123	0.6761595892204729	1954.105014442008	0.1	-0.003773131939353778	0.046665191650390625
203	0.5720395328789247	0.004710233661912647	0.6673432744418413	3267.506433844725	0.1	-0.003776723955807397	0.046512603759765625
2653	0.5573554078536862	0.004615627146883746	0.700964809733933	921.8093038096943	0.1	-0.0037775796707253534	0.04626321792602539
1547	0.599292952890023	0.004994528667718831	1.1595754251130357	3218.2861230517883	0.1	-0.003781150802184703	0.04644131660461426
609	0.4601150525672934	0.004000120156437491	0.8122999442373497	3099.0476182216444	0.1	-0.003784596226480628	0.04621386528015137
2475	0.5524747679297433	0.004754912802442276	0.41552731830673023	1305.4816810702548	0.1	-0.0037872837894678373	0.046280860900878906
2385	0.48808418235354245	0.004286136204369885	0.6969351269695039	1578.6629806647238	0.1	-0.0037886221103276257	0.0464324951171875
452	0.5542369242396401	0.0048251122410925135	0.46357965555895697	2224.203596696825	0.1	-0.00379036775370584	0.046581268310546875
2437	0.6365098362895649	0.005487670320018791	0.8412177923103109	1203.8782147804607	0.1	-0.0037919262144053504	0.0461583137512207
796	0.6193958052287835	0.005363115722523638	1.1165939922348227	604.4509195603854	0.1	-0.0037923513879345805	0.04636549949645996
1728	0.5554134255193004	0.004899482755840309	0.4857607610081326	1016.5888563707217	0.1	-0.0037939089992555302	0.04627799987792969
2414	0.5923044153851322	0.005192524443988825	0.09302795546844811	1651.627164905122	0.1	-0.003794561076012439	0.04618668556213379
947	0.6377168727575772	0.005583912537393234	0.21450124032179696	2400.2309907231165	0.1	-0.003796124565231956	0.04660534858703613
245	0.4343299352364692	0.004024885395097481	0.9517439575834187	2200.19415992673	0.1	-0.003800090562802086	0.046485185623168945
650	0.6195704003802066	0.00559554840460944	0.45359447968549277	693.0292299968347	0.1	-0.0038038203106125156	0.04634737968444824
706	0.5505130205760634	0.005076066854745842	0.9475742430973205	2660.5204787867124	0.1	-0.003805680424767473	0.04624438285827637
1431	0.5384744750070025	0.004998732127907256	0.9363248518919313	1656.5436078481598	0.1	-0.0038069898996640743	0.04629111289978027
1854	0.6425744137095208	0.0058833512917616975	0.5474459399955613	3248.1436833418525	0.1	-0.0038085821083478255	0.046285390853881836
638	0.6824292932182284	0.006222669065695517	1.086468615295905	2956.329706379431	0.1	-0.0038100380287585675	0.04630422592163086
411	0.6029527948172073	0.00559925121630753	0.5477732115598044	1869.3362710275183	0.1	-0.003810800489547328	0.046471595764160156
780	0.6156203047854225	0.00570830879530253	0.14964621713538093	2749.461959130179	0.1	-0.0038109415937897548	0.04651999473571777
2781	0.6355042638551092	0.005954796293452165	0.671212057035981	653.0587819109755	0.1	-0.0038147729349630355	0.04620981216430664
600	0.47077615267815964	0.004626876674854925	0.6235827374269726	3486.3158768252288	0.1	-0.0038184279388020544	0.04631352424621582
1261	0.5234426696020392	0.005095409345727798	0.978772351030922	809.8958078703972	0.1	-0.0038195938043910902	0.04664158821105957
453	0.6496972758808207	0.006180252253167519	1.181291866968845	2349.4888700726574	0.1	-0.0038197336036728344	0.04668879508972168
2669	0.6386323907611847	0.006131084471703064	0.9157040039152472	1625.7377880699323	0.1	-0.003821879493640235	0.0462031364440918
1138	0.4479450618416814	0.004523061508789174	0.660009227198079	1778.851762448371	0.1	-0.003824792782752808	0.04645514488220215
627	0.47044323254121034	0.004721131696922056	0.9504466241306211	911.57451187235	0.1	-0.0038252452762149933	0.04627823829650879
867	0.6440739440614871	0.006253875531969837	0.7537399122394638	2916.5374067647417	0.1	-0.003825427654849725	0.046625614166259766
1033	0.4815870554141277	0.004822622035468932	1.1319245690148696	1868.2241496993904	0.1	-0.0038255688926269347	0.04648303985595703
2165	0.6289989103227349	0.005903590758973371	0.628438279286507	90.7710221617574	0.1	-0.0038317244549993922	0.0461118221282959
492	0.397946397286381	0.004165778642696506	1.0327239791223553	3116.380915478915	0.1	-0.003832128800108727	0.04646873474121094
338	0.669723544833212	0.006606745392280509	0.12158888767819469	2972.5025733889074	0.1	-0.0038322601886514773	0.046633243560791016
616	0.46141486399262294	0.004780146301998322	0.7993749151393865	1806.5657098630782	0.1	-0.003833105034214515	0.04639840126037598
8	0.6915119824494891	0.006837743242463568	0.10043092037691762	1849.6075553482783	0.1	-0.0038340050463782577	0.046472787857055664
459	0.47495438783586735	0.004904201187813821	0.3095446673956895	830.5335603991389	0.1	-0.003834149935635276	0.04654693603515625
2719	0.5011169851123792	0.005264812012115237	1.116006144958582	1826.7369037383087	0.1	-0.003840742841927382	0.046132564544677734
2554	0.6484490834337673	0.006613162327726789	0.6396203112219417	664.7372336880949	0.1	-0.003841260524782554	0.04645109176635742
524	0.4371197833046382	0.004684213955136553	0.8986224594666651	3169.416492300494	0.1	-0.0038415874205185293	0.04633450508117676
1699	0.5309718276708746	0.005571870992790691	0.7012488413885988	3170.8339143478897	0.1	-0.0038419877262494775	0.046195268630981445
2602	0.6535317281384353	0.006680301216544159	1.0974309619251494	1537.1107134082038	0.1	-0.0038421808455755707	0.04627704620361328
939	0.6005617784054824	0.006213377656539445	0.5828968267698057	3345.849948374525	0.1	-0.0038421928730946694	0.04647660255432129
177	0.4229846577363035	0.004585804612739909	0.2362501350382174	3198.1141789304393	0.1	-0.0038441779541268086	0.04651188850402832
