	num_particles	process_std	measurement_std	Q	R	std_a	mean_test_score	mean_fit_time
2	1000	0.01665489950407667	0.026891820650494655	0.24497153826940954	0.08599647913840444	0.06021784651887506	-0.00019717665224492853	5.7220458984375e-05
3	2500	0.00822444683798066	0.025482782108736057	0.8014250096278637	0.08443293443922813	0.3536215155819163	-0.00025190116957667823	6.604194641113281e-05
1	2500	0.02267125769677394	0.03313727329827021	0.6976437281746118	0.07227303019533966	0.39889343255637505	-0.00025312466340398737	5.269050598144531e-05
0	1000	0.005938861668492063	0.03555023889693444	0.3735099776693278	0.035567886830024674	0.7145817853346357	-0.0003017105212710948	5.626678466796875e-05
4	1000	0.0204783644207189	0.026644777327159478	0.4752054347568398	0.08829485707968654	0.600120811788944	-0.0003045960487797778	6.365776062011719e-05
