	num_particles	process_std	measurement_std	Q	R	std_a	rotflip_const	mean_test_score	mean_fit_time
4	1500	0.1466684307573215	0.46568795710542943	0.7036647577877884	2.6250398646495996	2.0569872095620774	0.1	-0.00229216660246558	4.982948303222656e-05
3	2500	0.14737675194863134	0.411044196713374	1.2418305195679025	1.338942442983255	2.200136897083415	0.1	-0.0023110384578981	5.245208740234375e-05
2	600	0.3014476294843559	0.3435791574082629	2.657571457434119	0.78986654466521	1.0083786465457165	0.1	-0.0027525449724724025	5.221366882324219e-05
1	1000	0.17030271448315726	0.3671961203315579	2.575009980884392	2.1509076593379373	1.2014859854438091	0.1	-0.002823289776491246	5.340576171875e-05
0	600	0.12155680691772967	0.2686744546717183	2.137380800261629	1.123073942308638	2.3345005417734344	0.1	-0.2368204631867476	6.079673767089844e-05
