	num_particles	process_std	measurement_std	g	h	mean_test_score	mean_score_time
0	1000	0.014650291222810884	0.03598895562354384	0.44866792678693934	0.8275397552414345	-0.000248294973063773	0.8685784339904785
2	600	0.022756569115870127	0.02896092586739718	0.3435327315712564	0.37459057831182585	-0.0003252696530932096	0.8161118030548096
3	2500	0.034067301429365336	0.014292793471734445	0.9524132244508015	0.2965986615374998	-0.00039898632508623375	1.8795561790466309
1	600	0.030911845879036462	0.015395664988577895	0.9997947133101588	0.7083887248840777	-0.0004038957836168526	0.8671762943267822
4	2500	0.01942892696296334	0.011289761911861724	0.386412733521503	0.9891913724806312	-0.00042276485971102774	1.9652349948883057
