	Q	R	eps_max	Q_scale_factor	rotflip_const	mean_test_score	mean_score_time
4	0.4901552878866068	0.010904213441658272	1.021263328822669	3296.8018557216833	0.1	-0.004375119313708677	0.0685727596282959
1	0.402412696441149	0.021608410929586305	1.0760496012580587	1944.2100158715668	0.1	-0.00494905688230601	0.06880903244018555
2	0.5798822409859916	0.03641329482533774	0.19580294650090352	2369.9687082323153	0.1	-0.005135312607289685	0.06843066215515137
3	0.6233080794496115	0.050063740310945445	0.5797670943611556	1945.4576406186588	0.1	-0.005390697269082511	0.06832623481750488
0	0.30841087977331	0.037264079985471224	1.0461014629830947	1396.7497080201538	0.1	-0.005599540069331685	0.06878209114074707
