	num_particles	process_std	measurement_std	g	h	rotflip_const	mean_test_score	mean_score_time
199	3000	0.2205434470389802	0.2228401308892694	0.7078330185868988	0.643842125741925	0.1	-0.003448516333262499	1.2955150604248047
817	3000	0.13073161778985853	0.10777706401871676	0.8561503663875338	0.7276183532240234	0.1	-0.0034591041394926325	1.2997806072235107
144	2500	0.11482684436365677	0.0927333676655567	0.8151107610734327	0.19240704013480348	0.1	-0.0034595563833233903	1.141526699066162
213	2500	0.17877564408111207	0.11858918415028638	0.31792360813264225	0.9636952159567754	0.1	-0.0034597253762088482	1.151503562927246
584	2500	0.14994627993012252	0.0833261694371953	0.36808363766941465	0.43004701098156783	0.1	-0.0034601505856363575	1.134845495223999
282	2500	0.19380540653342204	0.06521548136517884	0.3161809331979437	0.38475985989052985	0.1	-0.0034602567742185895	1.1321523189544678
560	3000	0.1244708291900565	0.051295079598311116	0.8771838220510868	0.7248370960064612	0.1	-0.0034605977978523408	1.2947027683258057
954	2500	0.11373874758584997	0.07817211043914157	0.5459468161488268	0.5936946272285213	0.1	-0.003460615190153309	1.1341736316680908
1313	2500	0.12010099022415653	0.048757546951143475	0.2517631071148178	0.9990334968191943	0.1	-0.003460978887900332	1.1128003597259521
120	3000	0.12875623133823452	0.13317339631270855	0.8072910606655141	0.8294112553524969	0.1	-0.0034611944536362565	1.2846043109893799
1008	2500	0.10257870968581245	0.03392885380748149	0.9476035175524073	0.8083392522933006	0.1	-0.0034611963932889545	1.1222941875457764
1035	3000	0.11062817617993739	0.07863782058035813	0.6927405548190381	0.18345820243295496	0.1	-0.0034615350665043792	1.2886395454406738
1011	3000	0.13980593169196381	0.09074630139675524	0.43332495907945123	0.09466279359467866	0.1	-0.0034626068149276167	1.2994089126586914
69	2500	0.14449167709647548	0.08825260946511936	0.8305821941199019	0.6753148492669844	0.1	-0.0034628439351622473	1.128507375717163
1248	3000	0.2141416439368109	0.08957335849913421	0.7521157315473324	0.7379479191706398	0.1	-0.003462924830679256	1.2900691032409668
333	2500	0.12797859718766094	0.05238803060291332	0.4479081750090454	0.7823880016230335	0.1	-0.0034638113283955536	1.1203439235687256
650	3000	0.1159298480054215	0.09615246225535265	0.7601521303059264	0.9090757250447121	0.1	-0.003464227690160389	1.2925379276275635
1109	2500	0.20671887688379792	0.11712230885109924	0.9420361141032669	0.3383241548211221	0.1	-0.003464275758228496	1.1342992782592773
279	2500	0.1879200201413057	0.06561975275075743	0.7128470833908271	0.4837739096766325	0.1	-0.0034645022303476424	1.1306393146514893
40	3000	0.1097810858376777	0.05574518685055078	0.6481842014494417	0.27956750474479786	0.1	-0.003464650125868416	1.306474208831787
1402	3000	0.18255269471128205	0.08362728378850444	0.9509468236175591	0.7534034863867528	0.1	-0.0034646542424018618	1.2890205383300781
917	2500	0.15452084289989718	0.09487356298537374	0.3140092119283918	0.9723822753088581	0.1	-0.0034651653885770326	1.138852596282959
746	3000	0.17563872869851646	0.1948133261751403	0.41979907523346455	0.9233239568893982	0.1	-0.0034652352214910535	1.292172908782959
1017	3000	0.20906584854765317	0.12227044723047363	0.8842932390934617	0.45056545376512347	0.1	-0.0034652511848226398	1.2936084270477295
234	3000	0.16661480160208764	0.09385498025812795	0.8531299062123949	0.40916937272552556	0.1	-0.003465371694976305	1.2883217334747314
41	2500	0.15409716291349668	0.1237631013715358	0.6440837150075256	0.8399823194125065	0.1	-0.0034657141241111085	1.1225595474243164
870	3000	0.11896926118360676	0.02503785963590799	0.44900700938825033	0.36853386572936353	0.1	-0.0034657524208513294	1.2717645168304443
