	num_particles	process_std	vel_std	measurement_std	res_g	mean_test_score	mean_score_time
9	3000	0.01672502231045114	0.3614164770794682	0.01712482800671556	0.7106278862062083	-0.0004380329080474017	1.4540212154388428
1	3000	0.015568274453259468	0.25148847246102846	0.020625917113590592	0.7378555380409444	-0.00044157948725149235	1.4167985916137695
4	800	0.025088559958808817	0.11644813768109649	0.012815752644605207	0.681976238734396	-0.0004425605878899625	0.6626908779144287
8	800	0.020505194741197167	0.12918445651074992	0.013409596860267188	0.7321372873050863	-0.0004432577063658231	0.6954555511474609
5	600	0.019905955603795718	0.10203815827941376	0.01589854283657388	0.41324416112782403	-0.00045206328492012146	0.5899224281311035
2	800	0.01734633138724484	0.19982117746645822	0.012593409454410717	0.13864956703875997	-0.00045460597456487136	0.6732199192047119
0	2500	0.022692202231324277	0.09246416532341457	0.02158802277878622	0.4132625804553287	-0.00045664513029930297	1.1871464252471924
3	600	0.01697796277460007	0.4020815295635707	0.016738614360952718	0.8008994629947962		0.602881908416748
6	600	0.012555376533193632	0.45019525589945003	0.017811950600432263	0.9369079625361163		0.5721709728240967
7	600	0.018903030291858882	0.3126265149806343	0.013544841234763376	0.8863439228953102		0.6208267211914062
