	num_particles	process_std	measurement_std	Q	R	std_a	mean_test_score	mean_score_time
349	1000	0.009059242413165832	0.034129724664671734	0.020653172727641844	0.08051528265710173	0.3443021491745795	-0.0001527556429639206	1.068131446838379
2402	1000	0.008654156186279129	0.03072662625934379	0.03843598166594766	0.08405636884377972	0.25556294266053053	-0.0001545346237708873	1.0759224891662598
156	2500	0.010568086214324684	0.031181514505818395	0.026905722770879725	0.03399055606913414	0.24163317289091996	-0.0001550830196444336	1.8086392879486084
1893	1000	0.008419379148467257	0.0310557196792368	0.0595998520541413	0.043177712921883035	0.2303400410848108	-0.00015601845451105096	1.082350254058838
2507	1500	0.01080019870468385	0.03898816986227191	0.03239298590646074	0.09959378118062587	0.3754405857447936	-0.00015639595271250398	1.291686773300171
1221	2500	0.00535239763270906	0.03377109474480633	0.026272008150281714	0.0826379094315678	0.4091050034755586	-0.00015641322682622221	1.7054359912872314
230	2500	0.007161550923835103	0.038092925173926255	0.08495735981971496	0.05227782503507358	0.3117878915898657	-0.00015655127996274596	1.6541047096252441
2252	1500	0.013040963692981017	0.0361241747924541	0.05040837405982136	0.08654909763589433	0.28371142614662165	-0.00015765665333515968	1.3171212673187256
289	1500	0.00421313466788281	0.029770123475051605	0.07966076216100795	0.09997146724241301	0.35629436544761056	-0.00015815985553555942	1.3006219863891602
2311	2500	0.008732987269281886	0.03346230529900898	0.08835359485771299	0.08994018683395469	0.366379958392432	-0.00015894226279661303	1.7791736125946045
2391	600	0.007747364029969062	0.028982442476941116	0.05404100875573488	0.09565592956319721	0.4089470451955013	-0.00015907944688690756	0.9260890483856201
1331	2500	0.013141126506695874	0.039246238752225764	0.15314710417932964	0.09336490980231957	0.24708741588635655	-0.00015943877039244884	1.7088289260864258
1140	600	0.016117891238952083	0.03991427137443819	0.022829899470071538	0.027750031139922388	0.15960993184436148	-0.0001594724985072711	0.88336181640625
1816	1000	0.009562969192653268	0.03785908587618346	0.09759450421165168	0.06709667053352969	0.21266813095335207	-0.00016022788846775185	1.035008430480957
1336	2500	0.00551128360939998	0.03915418107986786	0.03820262467333787	0.09807787982467092	0.6961297661973765	-0.00016093330692307703	1.7694118022918701
2726	1500	0.015303952773764038	0.03397985190632803	0.021369797489142243	0.05786346040185332	0.22646573601410205	-0.00016129450887783622	1.362771987915039
1720	2500	0.004550636839379716	0.028880856846681246	0.14007756215233946	0.08228453439729608	0.2527024164118109	-0.0001616777183853338	1.748410701751709
1379	1000	0.004445549557996833	0.03818878758336092	0.03445748320880832	0.09855305336763673	0.4491239215386623	-0.00016169795324572076	1.0359792709350586
882	1500	0.008934258857465191	0.02969141723197733	0.15601245231584654	0.08872116639319685	0.20884133178421863	-0.0001630509081317759	1.3389441967010498
1060	600	0.012225998166333442	0.026627524336117106	0.04197820856125976	0.08670670189709555	0.1634613465986829	-0.00016324769512483325	0.9367783069610596
1192	1000	0.008027261401129731	0.034360953650061005	0.026618383755092966	0.0586597411902119	0.20810839639479184	-0.000164016441565176	1.0365662574768066
948	2500	0.010250476397681795	0.03601657161771597	0.2430621496622122	0.09732626374818146	0.20921516015105032	-0.00016408917339379774	1.7296736240386963
464	600	0.01537681253086927	0.03441535815008815	0.020752416125235228	0.027715484907013303	0.24758469533940666	-0.000164251240371676	0.9268808364868164
752	600	0.009630519956113335	0.038015590519166184	0.20927387259209695	0.08325374696264123	0.2210084830162399	-0.00016477484096125483	0.8804426193237305
1341	2500	0.005198560072220035	0.034348087175317274	0.030209918443613114	0.0742023626621211	0.6754420359583758	-0.00016525521948707424	1.8411633968353271
1906	1000	0.012810310137119045	0.03099374131862151	0.07871075139051902	0.09315779144923053	0.21773506452396396	-0.0001654018527784558	1.1300644874572754
2304	2500	0.007922806898322702	0.035300291690175185	0.05677243536584542	0.04522144884558053	0.5006152804343603	-0.00016586034352840599	1.8319907188415527
561	2500	0.007911728003554523	0.029177458303525347	0.19145201212456125	0.07775918210865736	0.20334691884747438	-0.0001661080069104482	1.7917265892028809
1631	1500	0.004958541753344946	0.037565556891340945	0.22275187541333044	0.09063237915507036	0.2836072288232834	-0.00016623053321246852	1.2341680526733398
1195	2500	0.011573489321331999	0.039019554803534175	0.11372089484747762	0.06954231919313186	0.1447549650747196	-0.000166434515569113	1.6409153938293457
1543	2500	0.007853060983102726	0.03678464439195288	0.04590702100549472	0.0591114566192992	0.22993458335031305	-0.0001665599959613032	1.6151657104492188
1880	2500	0.004411807826839213	0.023948686657869193	0.09120216650885608	0.0500121492234301	0.22651173753192416	-0.0001667156575170594	1.888655662536621
2260	600	0.011336539803969245	0.0293943078169938	0.07627538438525266	0.03759504884561555	0.13108308924051307	-0.00016672327527215018	0.923790454864502
2310	1000	0.009073916606902984	0.033163743505196824	0.21854412953952948	0.06933603609960459	0.257608406808584	-0.00016730931580913444	1.0911273956298828
2747	1500	0.011325545639830657	0.03478547838676618	0.30993098242670036	0.08672528821879238	0.24346484501892965	-0.00016797303557842578	1.330946683883667
2161	1500	0.014745793501528413	0.03158726785908257	0.12157599058600403	0.09886980424605657	0.1875243894601468	-0.00016895370961297226	1.3827297687530518
2518	1000	0.013363468165047432	0.03721876162331861	0.2737592554978168	0.09350473583707855	0.15052751225327707	-0.0001693193380663986	1.069617509841919
2255	1000	0.015547580805397806	0.03245926064854854	0.06827528604463769	0.0619370040317081	0.23249590525927555	-0.00016995019382427386	1.141843557357788
1850	2500	0.013713331512161505	0.03399558548662726	0.2890956053255768	0.0964377750424538	0.22715201831242335	-0.00017027653581251143	1.833590030670166
2826	1500	0.007368943411174428	0.038677887637774105	0.05675743841075423	0.09994264900232919	0.22878053343950802	-0.00017036377019023544	1.1961266994476318
283	1000	0.004729960114749378	0.038414490586804004	0.12886805724376119	0.03990580477707712	0.42594477814727727	-0.00017036870071005886	1.0610764026641846
1500	1500	0.015155007065138882	0.03417022766200667	0.14475302897723474	0.04896382774417791	0.16154348659887247	-0.00017060987265502187	1.3609583377838135
