	num_particles	process_std	measurement_std	g	h	rotflip_const	mean_test_score	mean_fit_time
3	600	0.43048636538902363	0.2458690611244608	0.9513014566425089	0.822103535567285	0.1	-0.003446151198196912	7.128715515136719e-05
1	2500	0.270976359491022	0.24899457139107778	0.8490862439555271	0.37267896588813254	0.1	-0.0034556057257253796	4.8160552978515625e-05
4	2500	0.5891811864962955	0.18561728693161023	0.8962046848198902	0.3472719235297962	0.1	-0.003723148362589096	4.506111145019531e-05
0	600	0.2594526568992089	0.20465801882155243	0.7369296399075835	0.7084081753601943	0.1	-0.003922509551885455	4.863739013671875e-05
2	1000	0.20669725873995454	0.18347003782752197	0.47801537719363796	0.8168156595428004	0.1	-0.0042629701090783675	4.8160552978515625e-05
