	num_particles	process_std	measurement_std	g	h	mean_test_score	mean_fit_time
3	600	0.013701016913679273	0.027893930443122036	0.8309859933842794	0.19405094767675068	-0.00019394887443156448	5.078315734863281e-05
1	1000	0.018973713348909182	0.03061564712514958	0.738005028157626	0.467690662422672	-0.00020245220205783706	4.9591064453125e-05
0	1000	0.03134615972672182	0.028708355732388474	0.440530281418021	0.49847505263049197	-0.0002940796980553378	4.982948303222656e-05
2	1500	0.019050932664112542	0.012252538072145625	0.7594014274286368	0.9392676501483338	-0.0004070077959968129	5.435943603515625e-05
4	1500	0.022740561316262994	0.01045922604553735	0.4755252466076416	0.23569492065541087	-0.00043032195244721913	4.696846008300781e-05
