	Q	R	eps_max	Q_scale_factor	rotflip_const	mean_test_score	mean_fit_time
0	0.47156826025369114	0.007181777299188313	0.8906564732613258	2104.1422064960702	0.1	-0.00396401669459275	6.008148193359375e-05
2	0.42327658147176433	0.008876042627139993	1.0548657310157248	3160.1831627801266	0.1	-0.004085220316420569	4.673004150390625e-05
1	0.5703220720713958	0.0389309651194588	1.0807901704192697	81.01267019594408	0.1	-0.0051990868866848465	5.340576171875e-05
4	0.48210554917400106	0.036514425206251616	0.803877295284571	1700.9965612134793	0.1	-0.005246194052202068	4.6253204345703125e-05
3	0.4810162334646261	0.052515491063291245	0.31421228884835417	2897.090539284864	0.1	-0.005695303371939993	4.57763671875e-05
