	num_particles	process_std	vel_std	measurement_std	res_g	rotflip_const	mean_test_score	mean_fit_time
0	2500	0.4337909440080078	0.34581398185366097	0.3322294439067338	0.9051254101024186	0.1	-0.002876508990458197	5.173683166503906e-05
4	1500	0.44232217243500305	0.6270766832609201	0.5204546619669016	0.5352676499271416	0.1	-0.0031342270930500224	5.412101745605469e-05
2	1000	0.26054360515346225	0.15938097250002362	0.35699894033429513	0.6867537594033105	0.1	-0.003215247114586246	5.8650970458984375e-05
1	1500	0.35444339991768326	0.3253072583721722	0.517180240556312	0.36504271862019266	0.1	-0.003275166020398863	7.939338684082031e-05
3	600	0.44245352335687704	0.15441648246353798	0.5092006376014282	0.5916516876500835	0.1	-0.003973912791058555	5.173683166503906e-05
