	num_particles	process_std	measurement_std	Q	R	std_a	mean_test_score	mean_fit_time
1	1000	0.024852089443136407	0.034306216507925216	0.232227696284643	0.09265992379952981	0.20527948269613872	-0.00020220318231924315	6.270408630371094e-05
3	1500	0.02309075769900866	0.03454078650138448	0.8536622288157706	0.06058681019840183	0.13183201583201334	-0.00021200547517283242	5.91278076171875e-05
0	1000	0.010363794153823103	0.025585603990639128	0.3460026010008827	0.04538937151203218	0.6481043989698503	-0.0003220773413236099	4.839897155761719e-05
4	600	0.006919710074963441	0.0285455457873221	1.0487684539646345	0.0510937192041409	0.5423504599455469	-0.00035058777211552475	5.888938903808594e-05
2	2500	0.015217132025754296	0.025376769063158614	1.407899136451809	0.04022884731891796	0.7812696641856536	-0.0004127738192594309	6.222724914550781e-05
