	num_particles	process_std	vel_std	measurement_std	res_g	rotflip_const	mean_test_score	mean_score_time
2592	2500	0.24128304086928892	0.2528909632820677	0.4024908390544806	0.9288351312788997	0.1	-0.002445141614948327	2.1528635025024414
2709	2500	0.32846515071602866	0.16595516997812856	0.3763232319817444	0.5707118935280817	0.1	-0.0025916501453000763	2.2043116092681885
2558	2500	0.3010491363219671	0.2769922794292314	0.4258510969882354	0.8142388659214305	0.1	-0.002613701466556375	2.237565279006958
1721	2500	0.3526385441776836	0.2440603674652355	0.45960854001469964	0.9901905178735688	0.1	-0.002619982790292924	2.195430278778076
2502	2500	0.3729392030222124	0.19611915128466945	0.4009820516212269	0.7144418367808543	0.1	-0.0026617530685634884	2.19091796875
1263	2500	0.2156887097484628	0.5826987292474741	0.49670933064037737	0.6572281313479207	0.1	-0.0026622646310727497	2.163191556930542
1724	2500	0.25086790519044533	0.41553060027568967	0.4915784253154205	0.8237913748047856	0.1	-0.0026703274223881914	2.1690642833709717
1651	2500	0.334825890296997	0.2257078399310995	0.4279536970611681	0.8148430883633316	0.1	-0.002681546980140134	2.241103172302246
2077	2500	0.3718662914829497	0.27790196725097094	0.3108673866800644	0.8408747856170911	0.1	-0.002682078804685236	2.1935524940490723
1739	2500	0.3800339913455707	0.3188234674004141	0.3866840707882358	0.6750325176210356	0.1	-0.002683880963780171	2.199225664138794
2206	2500	0.3635828728783931	0.27038728627279784	0.4116720596161658	0.4152907708133383	0.1	-0.0026844807381134804	2.2155544757843018
2359	2500	0.4259216073047182	0.21963781034358784	0.4750780078422753	0.6939367195449518	0.1	-0.002689914126424448	2.1924991607666016
2181	2500	0.20300228516954785	0.2969846072731629	0.40545621137743143	0.5097882014118729	0.1	-0.0026932802685668686	1.8606274127960205
280	1500	0.24312809411912206	0.504315876951795	0.48006703741669343	0.48433728045672286	0.1	-0.0027085650958953177	1.5392107963562012
2383	2500	0.32324288779216215	0.35070526211408154	0.3813479723262004	0.010215370001151247	0.1	-0.0027106577481324527	2.1856296062469482
2873	2500	0.2806583643666648	0.35071597626316175	0.5629715349843044	0.9809587717463663	0.1	-0.0027123468259816477	1.7067127227783203
309	2500	0.45939557520592755	0.3098815149738433	0.4914451681531873	0.2619057954541224	0.1	-0.002712543680315424	2.196998357772827
1993	2500	0.24196028818327897	0.2907939207608352	0.3936684152446494	0.3711392521587724	0.1	-0.002714845571886231	2.202413558959961
1757	2500	0.30294306211965494	0.30130669280202727	0.5014479827171863	0.9525793844429823	0.1	-0.00271918898468234	2.102731466293335
63	2500	0.3622396739184307	0.15240849657679942	0.41089080493720637	0.8261323260511173	0.1	-0.0027203767054129807	2.1981165409088135
1105	2500	0.3134820169240394	0.40773229605178063	0.4045538609469277	0.9725183191860086	0.1	-0.0027241206996303016	2.1832337379455566
121	2500	0.3140827446390008	0.38118599862316016	0.3623333438405102	0.03912461838472625	0.1	-0.0027253459813487303	2.1991186141967773
1137	2500	0.3118042574049821	0.29567886536751287	0.3888065376224438	0.6699651140855292	0.1	-0.0027290352715709293	2.1982240676879883
22	2500	0.35027495546402215	0.44036552688072095	0.4557214737774171	0.42410126434066575	0.1	-0.0027299611618441647	2.1876871585845947
2687	2500	0.305409147856997	0.33238031131579476	0.36050247442380356	0.24986798123860687	0.1	-0.0027310345633585476	2.1832897663116455
1671	2500	0.42637288693389297	0.1984007647621583	0.44108216763411584	0.8943544903416184	0.1	-0.002736275000474491	2.202068567276001
432	2500	0.2220689628497452	0.4159220927271685	0.3488044074594859	0.7955033769596941	0.1	-0.0027386948476258574	2.182823657989502
565	2500	0.4235295437661032	0.2562229417196153	0.5027964755118621	0.5322649482594061	0.1	-0.0027431959242500137	2.160708427429199
985	2500	0.3914970763962505	0.2696244734996583	0.4144115273367772	0.7135596838414077	0.1	-0.0027432865516694616	2.1985440254211426
2863	2500	0.23169547399308266	0.6356520126389987	0.4853672510636817	0.2417897334660314	0.1	-0.002744087132022561	2.191568613052368
2427	2500	0.3659899589449178	0.3420130177652396	0.4989667542997993	0.0035633287862674168	0.1	-0.002747920252338791	2.1746885776519775
1121	2500	0.37872258257590646	0.37230733011202277	0.4004218837072324	0.10383013336298963	0.1	-0.0027519140419739155	2.204477071762085
699	2500	0.3594793234006021	0.382110495236907	0.5129762918758972	0.7336899498674873	0.1	-0.002752216700824515	2.1911542415618896
1729	2500	0.28738884573222545	0.3514556672656694	0.37175367209431776	0.06614991831042827	0.1	-0.0027533168327827148	2.1845052242279053
468	2500	0.4080714764257276	0.3019153132326864	0.40343456107304576	0.07836274518936603	0.1	-0.002754484005893657	2.1981451511383057
337	2500	0.41762735958021174	0.39979358480510596	0.5020451531467776	0.09207147340288357	0.1	-0.0027557830351165502	2.17108154296875
2375	2500	0.3592319036866788	0.42511471142392665	0.3925068830027891	0.8387632454768331	0.1	-0.0027570017287046073	2.1853668689727783
878	2500	0.44204663798051846	0.29802462754600473	0.4476114650821047	0.26804936230887244	0.1	-0.002760830597811793	2.1731557846069336
1552	1500	0.42410941677974945	0.18764721882495408	0.48327574775435983	0.7298531102817697	0.1	-0.002762143706122394	1.542832612991333
14	2500	0.44222979530484385	0.23289008872436157	0.43332768846879754	0.8233269315893822	0.1	-0.0027629595216583512	2.1840474605560303
944	2500	0.376842535824352	0.3342722996355192	0.36995809310797895	0.9115647742556611	0.1	-0.0027635751649462597	2.1837661266326904
1323	2500	0.4451037872592414	0.2552256456733783	0.41571922654578164	0.9233496914449679	0.1	-0.0027637295021373355	2.213824510574341
692	2500	0.3197573231343051	0.45250950606734297	0.5276749775343792	0.6053977410337165	0.1	-0.0027643902329403365	2.172025203704834
2300	2500	0.3362397962559858	0.37581974748571745	0.5130427146041356	0.8010080762779542	0.1	-0.0027678351236065206	2.1955840587615967
1571	2500	0.3589299210798785	0.610476733151849	0.3831139927453668	0.10730915563342736	0.1	-0.0027678458912635314	2.1806509494781494
368	2500	0.3198753037110184	0.4143322872113031	0.32783967435747746	0.6385491027996415	0.1	-0.0027696589275590707	2.1969783306121826
491	2500	0.2865693661501446	0.25097326427180233	0.39535965029925185	0.5756291203167843	0.1	-0.0027717852835204954	2.2098920345306396
2315	2500	0.2860594163372615	0.23595968183475768	0.32835718848345824	0.6093203980560186	0.1	-0.0027728957594079927	2.1879005432128906
394	2500	0.41890316604917477	0.42004396872047833	0.5012098636049784	0.33748586819708726	0.1	-0.0027749939338679946	2.176238536834717
1525	2500	0.40048610910420956	0.541306264366336	0.4858170058714863	0.18735459995269121	0.1	-0.002775266269104992	2.2192723751068115
1866	2500	0.2583957917243147	0.27731166369213633	0.39752735650452453	0.8129861665959076	0.1	-0.0027762478166225794	2.2012619972229004
