	num_particles	process_std	measurement_std	g	h	mean_test_score	mean_score_time
693	3000	0.05543936391262053	0.024215722937491403	0.08587371059212767	0.06261621907997368	-0.0003921068758467794	1.2967655658721924
1413	2500	0.037438528454654146	0.024928447552064567	0.15978639612799342	0.1691877371917183	-0.00039237611611150246	1.121981143951416
1468	2500	0.047566006113879886	0.020002691588379556	0.04900920368610287	0.1853368737057327	-0.00039256169400269996	1.1237504482269287
948	600	0.07846816461043084	0.014703940331097815	0.4730533860239743	0.446712923732008	-0.00039257235937515425	0.5601596832275391
525	2500	0.029535694562246792	0.027010486108260928	0.18451354581718934	0.47561055422277526	-0.00039257524415982245	1.1496658325195312
1227	3000	0.06489724845798114	0.02761224471289657	0.2941314908296131	0.779019165382822	-0.00039260060161497735	1.2894024848937988
929	3000	0.09736279630271341	0.02125780391927792	0.7109503870014067	0.5578471636806971	-0.00039261376824055623	1.388167381286621
510	2500	0.03367535563725131	0.016417209934305912	0.21199407685149183	0.13327272496383627	-0.0003926546567294387	1.154820442199707
954	600	0.026471941797813522	0.012753695591852951	0.025704081851548113	0.71280012211177	-0.0003926902711514812	0.5161271095275879
1175	800	0.08668775751515354	0.020201595234807128	0.41820494156186694	0.10027170111208816	-0.0003927088539418507	0.6080648899078369
653	2500	0.05341689882738149	0.025983598619732186	0.11587451261224793	0.12396068783180231	-0.0003927264907757748	1.1531152725219727
1382	3000	0.045211805740843866	0.025253795649862493	0.2589140123483632	0.29787956495768836	-0.00039273926841613336	1.284581184387207
1258	3000	0.028700793435094962	0.01780979358250607	0.30456031545703727	0.0021876232841524512	-0.00039274935460806255	1.3077061176300049
741	600	0.026109194178863745	0.02265316128297567	0.5283774481797765	0.19391435927870904	-0.000392774865579549	0.5396318435668945
615	800	0.075652783307393	0.01533892086486555	0.19608593384431058	0.6549147069553959	-0.0003928101385891497	0.6371378898620605
1021	3000	0.038053824983720355	0.020219956672116828	0.2270657723405199	0.38779075518620143	-0.000392837499996075	1.3111817836761475
841	3000	0.03946178203298875	0.014893874674102312	0.1531441134229656	0.7906648262797975	-0.00039287564165630724	1.3011724948883057
1218	2500	0.046503968155126196	0.012033532663778738	0.32671552593074477	0.7444201816276421	-0.0003928817396210784	1.229722023010254
1161	3000	0.09079911524408857	0.013301070582322837	0.2656828016502272	0.23356248968275706	-0.0003928860540215497	1.3332443237304688
792	800	0.0952836740333392	0.017311668675986273	0.3415188278866681	0.4608467162259655	-0.0003928864235652043	0.6480934619903564
