	num_particles	process_std	vel_std	measurement_std	res_g	rotflip_const	mean_test_score	mean_score_time
1	1000	0.24891452752205262	0.38225027199315353	0.36712272974649174	0.3666920164646318	0.1	-0.003008118689007932	1.2192060947418213
0	1500	0.25128299638725227	0.4813943621669954	0.5142966384433283	0.800334742500316	0.1	-0.003282382387892152	1.536362648010254
3	1000	0.27198851279261377	0.4951860308942415	0.4872807159913005	0.4651400809032197	0.1	-0.003298069314179746	1.2020361423492432
2	1000	0.4249455633334915	0.5979402968456782	0.3845612366226774	0.5777122747853727	0.1	-0.003453526607036919	1.2862944602966309
4	600	0.2771628162344794	0.36941959050672585	0.5607893134593115	0.6511733690822146	0.1	-0.0050921152943496665	0.8228967189788818
